merchant,merchant_alias,description,category
Apple Store,APPLE STORE,Apple Watch Series 9,Shopping
Naturals Ice Cream Delivery,KAMAT HOTELS NATURALS DELIVERY,Sitaphal & Mango Scoops,Food & Dining
Baskin Robbins Delivery,GRAVISS FOODS DELIVERY,Two Scoop Waffle Cone,Food & Dining
Empire Restaurant Express,HOTEL EMPIRE EXPRESS,Coin Parotta & Grill Chicken,Food & Dining
Empire Restaurant,EMPIRE RESTAURANT Bangalore,Empire Special Chicken Dosa,Food & Dining
Tata Play DTH Utility,TATA SKY DTH UTILITY,DTH Monthly HD Pack Recharge,Utilities
Udemy Learning,UDEMY ONLINE COURSES LEARNING,Fullstack Web Development Bootcamp,Education
Air India Fuel,AIR INDIA FUEL,Economy Class Domestic Flight,Transportation
Burger King Outlet,BK DELIVERY OUTLET,Crispy Chicken Meal,Food & Dining
Retired Corporate Payout,SALARY/MANISHBHAT,Monthly Salary Credit - June 2025,Miscellaneous
FASTag Recharge Pay,NHAI FASTAG RECHARGE PAY,FASTag Auto Recharge,Transportation
Goibibo,GOIBIBO,Outstation Cab & Homestay,Vacation
Cafe Coffee Day,COFFEE DAY GLOBAL,Tropical Ice Tea,Food & Dining
BusinessOwner Corporate Payout,SALARY/ISHANSHARMA,Monthly Salary Credit - January 2025,Miscellaneous
Scaler Academy Edu,SCALER EDU,Scaler Academy Edu - Recurring Subscription,Education
Chai Point Delivery,MOUNTAIN TRAIL FOODS DELIVERY,Ginger Chai & Samosa,Food & Dining
Taj Hotels,TAJ RESORTS,Fine Dining & Spa,Vacation
Nykaa Fashion,NYKAA BEAUTY FASHION,Makeup Products & Foundation,Shopping
Barbeque Nation,BARBEQUE NATION,Corporate Buffet Outing,Food & Dining
Reliance Fresh,RELIANCE SMART,Fresh Packaged Spices,Groceries
NoBroker Rent Pay Online,NOBROKER TECHNOLOGIES ONLINE,Monthly Flat Rent Payment,Rent & Housing
Indane LPG Gas Utility,INDANE GAS UTILITY,Indane LPG Gas Utility - Recurring Subscription,Utilities
Tata 1mg Medical,TATA 1MG MEDICAL,Diagnostic Blood Test Booking,Healthcare
Country Delight Mart,ORGANICS COUNTRY DELIGHT MART,Country Delight Mart - Recurring Subscription,Groceries
CRED RentPay Pay,CRED RENT PAY,House Rent Transfer via Credit Card,Rent & Housing
MakeMyTrip Stays,MAKEMYTRIP INDIA STAYS,Roundtrip Flight & Hotel Combo,Vacation
More Megastore Direct,MORE SUPERMARKET DIRECT,Toiletries & Detergent,Groceries
Apple Store,IMAGINE APPLE PREMIUM,MacBook Air M2 Laptop,Shopping
Indane LPG Gas Bill,INDIAN OIL LPG BILL,Indane LPG Gas Bill - Recurring Subscription,Utilities
Rapido,RAPIDO BIKE,Rapido Auto Ride,Transportation
MakeMyTrip,MAKEMYTRIP,Manali Tour Package Booking,Vacation
BookMyShow India,BIGTREE ENTERTAINMENT INDIA,Concert Event Passes,Entertainment
Paytm Money Investments,PAYTM MONEY INVESTMENTS,Nifty 50 Mutual Fund SIP,Investments
Chaayos,CHAAYOS CAFE,Adrak Elaichi Tea,Food & Dining
PhysicsWallah Edu,PW LIVE EDU,NEET Prep Study Material,Education
Tata Power Utility,TATA POWER DELHI UTILITY,Tata Power Utility - Recurring Subscription,Utilities
Pizza Hut Outlet,DEVYANI INT PIZZA OUTLET,Tandoori Paneer Pizza,Food & Dining
Reliance Fresh Mart,RELIANCE RETAIL MART,Dry Fruits & Nuts,Groceries
Disney+ Hotstar,HOTSTAR,Disney+ Hotstar - Recurring Subscription,Entertainment
Airbnb India Holidays,AIRBNB PAYMENTS HOLIDAYS,Beachfront Homestay Gokarna,Vacation
Paradise Biryani Outlet,PARADISE BIRYANI OUTLET,Hyderabadi Mutton Biryani,Food & Dining
Domino's Pizza,DOMINOS,Farmhouse Pizza & Garlic Bread,Food & Dining
BigBasket Direct,BB DAILY DIRECT,Weekly Organic Vegetables,Groceries
BESCOM Electricity Bill,BANGALORE ELECTRICITY BILL,BESCOM Electricity Bill - Recurring Subscription,Utilities
Decathlon Store,DECATHLON STORE,Mountain Biking Bicycle,Shopping
BookMyShow,BMS TICKETS,Movie Tickets for 2 - IMAX 3D,Entertainment
Apple Store Fashion,UNICORN APPLE FASHION,Apple Watch Series 9,Shopping
Tata Play DTH,TATA PLAY,Tata Play DTH - Recurring Subscription,Utilities
Practo Medical,PRACTO CONSULTATION MEDICAL,Online Doctor Video Consultation,Healthcare
Lenskart Medical,LENSKART SOLUTIONS MEDICAL,Ray-Ban Sunglasses,Healthcare
BookMyShow,BIGTREE ENTERTAINMENT,Concert Event Passes,Entertainment
Delhi Metro,DMRC,Metro Card Auto-Topup,Transportation
Zomato Outlet,ZOMATO*ORDER OUTLET,Dessert & Ice Cream,Food & Dining
Unacademy Academy,UNACADEMY ACADEMY,Unacademy Academy - Recurring Subscription,Education
Scaler Academy Edu,SCALER ACADEMY EDU,Software Engineering Track Installment,Education
Chaayos,CHAAYOS CAFE,Desi Chai & Maska Bun,Food & Dining
Practo Care,PRACTO CARE,Online Doctor Video Consultation,Healthcare
PharmEasy,PHARMEASY,Blood Pressure Monitor,Healthcare
MSEDCL Power Bill,MAHARASHTRA ELECTRICITY BILL,Power & Electricity Monthly Charges,Utilities
Chai Point Express,CHAI POINT EXPRESS,Filter Coffee & Bun Maska,Food & Dining
Namma Metro Pay,BANGALORE METRO PAY,Namma Metro Card Recharge,Transportation
Social Outlet,INDIRANAGAR SOCIAL OUTLET,Cocktails & Bar Bites,Food & Dining
Blue Tokai Express,BLUE TOKAI COFFEE ROASTERS EXPRESS,Croissant & Cold Brew,Food & Dining
Dr Lal PathLabs Medical,LAL PATHLABS DIAGNOSTICS MEDICAL,Thyroid Profile Test,Healthcare
Cafe Coffee Day Delivery,CCD DELIVERY,Cappuccino,Food & Dining
Tata Play DTH Utility,TATA PLAY UTILITY,Tata Play DTH Utility - Recurring Subscription,Utilities
Nature's Basket Store,NATURES BASKET STORE,Artisanal Bread & Organic Honey,Groceries
Naturals Ice Cream Outlet,KAMAT HOTELS NATURALS OUTLET,Family Pack Tub,Food & Dining
Netflix,NETFLIX INDIA,Netflix Premium 4K Plan,Entertainment
Vi Postpaid Bill,VI POSTPAID BILL,Mobile Postpaid Monthly Bill,Utilities
Taco Bell Express,TACO BELL EXPRESS,Naked Chicken Taco,Food & Dining
Cafe Coffee Day Outlet,COFFEE DAY GLOBAL OUTLET,Cappuccino,Food & Dining
Investor Corporate Payout,SALARY/RAHULKAPOOR,Monthly Salary Credit - November 2025,Miscellaneous
Ola Cabs Service,OLA AUTO SERVICE,Ola Prime SUV Family Ride,Transportation
Third Wave Coffee Delivery,THIRD WAVE COFFEE DELIVERY,Avocado Toast & Latte,Food & Dining
Taco Bell Delivery,BURMAN HOSPITALITY TACO DELIVERY,Naked Chicken Taco,Food & Dining
Booking.com Holidays,BOOKING.COM HOLIDAYS,Boutique Resort Stay Udaipr,Vacation
Blinkit Store,HANDS ON TRADES STORE,Daily Milk & Bread,Groceries
Paytm Money,PAYTM MONEY,ELSS Tax Saver Fund SIP,Investments
Disney+ Hotstar India,HOTSTAR INDIA,Disney+ Hotstar India - Recurring Subscription,Entertainment
Subway Delivery,SUBWAY DELIVERY,Sub Meal & Cookie,Food & Dining
Starbucks,STARBUCKS INDIA,Cappuccino & Muffin,Food & Dining
Nykaa Digital,NYKAA BEAUTY DIGITAL,Perfume & Fragrance,Shopping
SonyLIV India,CULVER MAX ENTERTAINMENT INDIA,Sports & Live Match Pass,Entertainment
Uber Fuel,UBER FUEL,Uber Premier Airport Drop,Transportation
Apollo Pharmacy Medical,APOLLO PHARMACY MEDICAL,First Aid & Skincare Items,Healthcare
Bikanervala,BIKANERVALA FOODS,Kaju Katli Box,Food & Dining
Society Maintenance Pay,SOCIETY MAINTENANCE PAY,Monthly Society Maintenance & Water Charges,Rent & Housing
Ola Cabs,OLA,Ola Mini Ride to Mall,Transportation
Dr Lal PathLabs Care,DR LAL PATHLABS CARE,Thyroid Profile Test,Healthcare
Third Wave Coffee Express,CUSTOMIZED COFFEE PVT EXPRESS,Vietnamese Iced Coffee,Food & Dining
H&M India Store,H&M RETAIL INDIA STORE,Cotton Basic Tops,Shopping
Cafe Coffee Day Outlet,CAFE COFFEE DAY OUTLET,Cafe Latte & Garlic Toast,Food & Dining
Naturals Salon Salon,NATURALS BEAUTY CARE SALON,Hair Coloring & Keratin Treatment,Grooming
Lenskart,LENSKART SOLUTIONS,Ray-Ban Sunglasses,Healthcare
SoftwareEngineer Corporate Payout,SALARY/ARJUNVERMA,Monthly Salary Credit - April 2025,Miscellaneous
Oyo Rooms Stays,OYO ROOMS STAYS,Business Trip Overnight Stay,Vacation
Booking.com Travels,BOOKING.COM TRAVELS,Luxury Heritage Hotel Stay Jaipur,Vacation
PPF Deposit Investments,SBI PPF ACCOUNT INVESTMENTS,PPF Deposit Investments - Recurring Subscription,Investments
IRCTC Service,IRCTC E-TICKETING SERVICE,3AC Train Ticket Booking,Transportation
Apple Music Digital,APPLE.COM/BILL DIGITAL,Apple Music Digital - Recurring Subscription,Entertainment
Amazon India Retail,AMAZON PAY INDIA RETAIL,Wireless Bluetooth Earbuds,Shopping
Wow! Momo Delivery,WOW MOMO EXPRESS DELIVERY,Pan Fried Veg Momos,Food & Dining
KFC Outlet,KFC INDIA OUTLET,Zinger Burger Meal,Food & Dining
Disney+ Hotstar,NOVI DIGITAL,Hotstar Premium Annual Subscription,Entertainment
Starbucks Express,STARBUCKS COFFEE EXPRESS,Java Chip Frappuccino,Food & Dining
Zerodha,ZERODHA COIN,Sovereign Gold Bond Purchase,Investments
Swiggy Instamart Store,INSTAMART STORE,Snack Pantry Refill,Groceries
Mainland China Delivery,MAINLAND CHINA DELIVERY,Chinese Buffet,Food & Dining
JioFiber Utility,JIO BROADBAND UTILITY,JioFiber Utility - Recurring Subscription,Utilities
Barbeque Nation Outlet,BARBEQUE NATION OUTLET,Weekend Lunch Buffet,Food & Dining
Barbeque Nation,BARBEQUE NATION LTD,Buffet Dinner for 2,Food & Dining
Housing.com Rent Pay,LOCON SOLUTIONS PAY,House Rent Payment via Housing Pay,Rent & Housing
Booking.com Holidays,BOOKING.COM HOLIDAYS,Luxury Heritage Hotel Stay Jaipur,Vacation
Amazon India Digital,AMZN PAY DIGITAL,Kindle Paperwhite,Shopping
Ola Cabs Pay,OLA PAY,Ola Auto Ride,Transportation
School Tuition Fee Learning,SCHOOL FEE LEARNING,School Tuition Fee Learning - Recurring Subscription,Education
Airtel Broadband Bill,AIRTEL BROADBAND BILL,Fiber Optic Broadband Monthly Bill 200Mbps,Utilities
Burger King,BK DELIVERY,Fiery Chicken Wings,Food & Dining
Coursera,COURSERA INC,Deep Learning Specialization Certificate Fee,Education
Mainland China,MAINLAND CHINA,Hakka Noodles & Manchurian,Food & Dining
Booking.com Stays,BOOKING.COM INDIA STAYS,Luxury Heritage Hotel Stay Jaipur,Vacation
BigBasket,BIGBASKET,"Atta, Dal & Sugar Basket",Groceries
Tata Power Utility,TATA POWER DELHI UTILITY,Tata Power Utility - Recurring Subscription,Utilities
YouTube Premium Media,YOUTUBE PREMIUM MEDIA,YouTube Premium Individual Plan,Entertainment
Shell Petrol Pump,SHELL,Shell Lubricant & Fuel,Transportation
Tata Power,TATA POWER,Tata Power - Recurring Subscription,Utilities
Coursera,COURSERA,Coursera - Recurring Subscription,Education
Housing.com Rent Online,LOCON SOLUTIONS ONLINE,House Rent Payment via Housing Pay,Rent & Housing
Vi Postpaid Utility,VI POSTPAID UTILITY,Vi Postpaid Utility - Recurring Subscription,Utilities
Amazon India Digital,AMAZON SELLER SERVICES DIGITAL,Wireless Bluetooth Earbuds,Shopping
Airbnb India Stays,AIRBNB PAYMENTS STAYS,Beachfront Homestay Gokarna,Vacation
Scaler Academy,SCALER ACADEMY,Software Engineering Track Installment,Education
Bikanervala,BIKANERVALA SWEETS,Special Thali,Food & Dining
Country Delight Direct,COUNTRY DELIGHT DIRECT,Pure Desi Ghee,Groceries
PPF Deposit Investments,SBI PPF ACCOUNT INVESTMENTS,PPF Deposit Investments - Recurring Subscription,Investments
Uber Fuel,UBER AUTO FUEL,Uber Go Intercity,Transportation
Cafe Coffee Day Outlet,CCD OUTLET,Tropical Ice Tea,Food & Dining
Ola Cabs Pay,OLA PAY,Ola Mini Ride to Mall,Transportation
Goibibo Stays,IBIBO GROUP STAYS,Weekend Hotel Booking in Coorg,Vacation
Swiggy Delivery,SWIGGY DELIVERY,Late Night Snacks,Food & Dining
Chai Point,MOUNTAIN TRAIL FOODS,Ice Chai & Sandwich,Food & Dining
Cult.fit Gym,CUREFIT HEALTHCARE,Cult.fit Gym - Recurring Subscription,Healthcare
Croma Digital,INFINITI RETAIL CROMA DIGITAL,Air Conditioner 1.5 Ton,Shopping
Coursera Learning,COURSERA INC LEARNING,Coursera Plus Annual Subscription,Education
Kama Ayurveda Care,KAMA AYURVEDA RETAIL CARE,Kumkumadi Miraculous Night Serum,Grooming
JioFiber,JIOFIBER,JioFiber - Recurring Subscription,Utilities
ICICI Direct Capital,ICICI SECURITIES CAPITAL,Corporate Bond Purchase,Investments
Crossword Bookstore Learning,CROSSWORD BOOKSTORES LEARNING,Notebooks & Premium Stationery,Education
Baskin Robbins Express,BASKIN ROBBINS EXPRESS,Mississippi Mud Sundae,Food & Dining
Ajio,AJIO,Ethnawear Kurtis,Shopping
Zepto Direct,KIRANAKART DIRECT,"Eggs, Milk & Butter",Groceries
Pizza Hut Delivery,DEVYANI INT PIZZA DELIVERY,Pasta & Garlic Bread,Food & Dining
Family Corporate Payout,SALARY/RIYAMEHTA,Monthly Salary Credit - September 2025,Miscellaneous
Amazon India Fashion,AMZN PAY FASHION,Home Decor Items,Shopping
Student Corporate Payout,SALARY/ADITIPATEL,Monthly Salary Credit - February 2025,Miscellaneous
Retired Corporate Payout,SALARY/YASHDESHMUKH,Monthly Salary Credit - October 2025,Miscellaneous
Goibibo Stays,IBIBO GROUP STAYS,Outstation Cab & Homestay,Vacation
Dr Lal PathLabs,LAL PATHLABS DIAGNOSTICS,Full Body Health Checkup Package,Healthcare
H&M India Store,H&M RETAIL INDIA STORE,Oversized Hoodie,Shopping
Paytm Money,PAYTM MONEY,ELSS Tax Saver Fund SIP,Investments
BlueDart Services,BLUEDART SERVICES,Urgent Air Courier Delivery Fee,Miscellaneous
Croma Store,CROMA STORE,Washing Machine Front Load,Shopping
Rapido Pay,RAPIDO PAY,Rapido Auto Ride,Transportation
Kama Ayurveda Care,KAMA AYURVEDA RETAIL CARE,Bringadi Hair Oil & Ayurvedic Soap,Grooming
Retired Corporate Payout,SALARY/SIDDHARTHBHAT,Monthly Salary Credit - December 2025,Miscellaneous
IndiGo Service,INDIGO SERVICE,Indigo Flight Seat Selection & Meal,Transportation
Country Delight Mart,ORGANICS COUNTRY DELIGHT MART,Cow Milk Monthly Subscription,Groceries
Licious Store,LICIOUS STORE,Atlantic Salmon Fillet,Groceries
Coursera Edu,COURSERA EDU,Deep Learning Specialization Certificate Fee,Education
Tata Power Bill,TATA POWER BILL,Tata Power Bill - Recurring Subscription,Utilities
Netflix India,NETFLIX.COM INDIA,Netflix Premium 4K Plan,Entertainment
Decathlon Retail,DECATHLON RETAIL,Mountain Biking Bicycle,Shopping
Local Kirana Store Direct,KIRANA STORE DIRECT,Packet Milk & Biscuits,Groceries
Adani Electricity,ADANI ELECTRICITY,Monthly Power Utility Payment,Utilities
Westside Store,WESTSIDE STORE,Formal Trousers & Blazers,Shopping
Pet Care Clinic,VET HOSPITALS,Dog Food & Toys,Miscellaneous
Rapido Fuel,ROPPEN TRANSPORTATION FUEL,Rapido Auto Ride,Transportation
IOCL Fuel Service,IOCL SERVICE,XtraPremium Petrol Refill,Transportation
Apple Music Media,APPLE.COM/BILL MEDIA,Apple Music Monthly Student/Individual Plan,Entertainment
Pet Care Clinic Direct,PET CARE CLINIC DIRECT,Dog Food & Toys,Miscellaneous
HP Gas Utility,HP GAS UTILITY,LPG Cooking Gas Cylinder Refill,Utilities
Adani Electricity,ADANI POWER MUMBAI,Adani Electricity - Recurring Subscription,Utilities
Adani Electricity Utility,ADANI ELECTRICITY UTILITY,Adani Electricity Utility - Recurring Subscription,Utilities
Airbnb India Holidays,AIRBNB PAYMENTS HOLIDAYS,Private Villa Booking in Lonavala,Vacation
Airbnb India Travels,AIRBNB PAYMENTS TRAVELS,Beachfront Homestay Gokarna,Vacation
Family Corporate Payout,SALARY/PRIYASHARMA,Monthly Salary Credit - December 2025,Miscellaneous
Mainland China Delivery,MAINLAND CHINA DELIVERY,Dim Sum & Dumplings,Food & Dining
Namma Metro Service,BMRCL SERVICE,Namma Metro Card Recharge,Transportation
School Tuition Fee,RYAN INTL SCHOOL,School Tuition Fee - Recurring Subscription,Education
More Megastore,MORE MEGASTORE,Toiletries & Detergent,Groceries
Tata Play DTH,TATA PLAY,DTH Monthly HD Pack Recharge,Utilities
Haldiram's Outlet,HALDIRAMS SWEETS OUTLET,Assorted Sweets Box,Food & Dining
Starbucks Express,STARBUCKS COFFEE EXPRESS,Iced Americano & Croissant,Food & Dining
Cult.fit Gym Healthcare,CUREFIT HEALTHCARE HEALTHCARE,Cultpass Elite 12 Months Gym Membership,Healthcare
Investor Corporate Payout,SALARY/TANVIBHAT,Monthly Salary Credit - October 2025,Miscellaneous
Goibibo Holidays,GOIBIBO HOLIDAYS,Outstation Cab & Homestay,Vacation
Delhi Metro Service,DELHI METRO SERVICE,Metro Smart Card Recharge,Transportation
Myntra Store,MYNTRA STORE,Leather Jacket & Boots,Shopping
Taj Hotels Travels,TAJ RESORTS TRAVELS,Taj Lake Palace Luxury Suite Weekend Stay,Vacation
Nykaa Fashion,NYKAA BEAUTY FASHION,Perfume & Fragrance,Shopping
H&M India,H&M RETAIL INDIA,Oversized Hoodie,Shopping
PVR Cinemas India,PVR LIMITED INDIA,PVR Recliner Movie Tickets & Popcorn Combo,Entertainment
Family Corporate Payout,SALARY/SIDDHARTHJOSHI,Monthly Salary Credit - January 2025,Miscellaneous
Namma Metro,BMRCL,Metro QR Ticket,Transportation
Beardo,BEARDO,Charcoal Face Wash & Grooming Kit,Grooming
Vijay Sales Fashion,VIJAY SALES RETAIL FASHION,Double Door Refrigerator,Shopping
Tata Play DTH Bill,TATA PLAY BILL,DTH Monthly HD Pack Recharge,Utilities
Unacademy Academy,SORTING HAT TECHNOLOGIES ACADEMY,UPSC Coaching Subscription,Education
Country Delight,ORGANICS COUNTRY DELIGHT,Cow Milk Monthly Subscription,Groceries
Taco Bell,TACO BELL,Naked Chicken Taco,Food & Dining
Apollo Pharmacy Care,APOLLO HOSPITALS PHARMA CARE,Monthly Diabetes Medication,Healthcare
Starbucks Express,STARBUCKS COFFEE EXPRESS,Cappuccino & Muffin,Food & Dining
FASTag Recharge Fuel,NHAI FASTAG RECHARGE FUEL,FASTag Recharge Fuel - Recurring Subscription,Transportation
Taco Bell,TACO BELL,Quesadilla & Seasoned Fries,Food & Dining
Landlord Direct Rent,RENT PAYMENT,House Rent for Current Month,Rent & Housing
Retired Corporate Payout,SALARY/ADITIREDDY,Monthly Salary Credit - July 2025,Miscellaneous
Coursera Learning,COURSERA LEARNING,Deep Learning Specialization Certificate Fee,Education
Apollo Pharmacy Medical,APOLLO 247 MEDICAL,Prescription Medicines & Vitamins,Healthcare
Tata 1mg Healthcare,1MG HEALTHCARE,Ayurvedic & Health Care Products,Healthcare
School Tuition Fee Learning,SCHOOL FEE LEARNING,School Tuition Fee Learning - Recurring Subscription,Education
NoBroker Rent Pay Pay,NOBROKER RENT PAY,NoBroker Rent Pay Pay - Recurring Subscription,Rent & Housing
Croma Digital,INFINITI RETAIL CROMA DIGITAL,OLED 4K Smart TV,Shopping
Zomato Delivery,Zomato Ltd DELIVERY,Dinner Order,Food & Dining
Chai Point Outlet,CHAI POINT EXPRESS OUTLET,Ice Chai & Sandwich,Food & Dining
MSEDCL Power,MAHARASHTRA ELECTRICITY,Power & Electricity Monthly Charges,Utilities
Beardo Care,BEARDO CARE,Charcoal Face Wash & Grooming Kit,Grooming
BusinessOwner Corporate Payout,SALARY/ISHANSHARMA,Monthly Salary Credit - April 2025,Miscellaneous
Cafe Coffee Day Express,CAFE COFFEE DAY EXPRESS,Tropical Ice Tea,Food & Dining
Student Corporate Payout,SALARY/ADITISINGHANIA,Monthly Salary Credit - April 2025,Miscellaneous
H&M India Digital,H&M RETAIL INDIA DIGITAL,Oversized Hoodie,Shopping
DTDC Express Services,DTDC SERVICES,Outstation Courier Document Charge,Miscellaneous
PharmEasy Medical,API HOLDINGS MEDICAL,Health Supplements & Protein,Healthcare
YouTube Premium Digital,YOUTUBE PREMIUM DIGITAL,YouTube Premium Individual Plan,Entertainment
Local Kirana Store Mart,CITY SUPERMART MART,Sugar & Salt,Groceries
Rapido Service,ROPPEN TRANSPORTATION SERVICE,Quick Office Commute,Transportation
Licious Direct,LICIOUS MEAT DIRECT,Mutton Curry Cut,Groceries
Zomato,Zomato Ltd,Burger Meal,Food & Dining
Delhi Metro Pay,DELHI METRO PAY,Metro Card Auto-Topup,Transportation
Naturals Salon,NATURALS BEAUTY CARE,Facial & Threading,Grooming
PharmEasy Care,PHARMEASY ONLINE CARE,Health Supplements & Protein,Healthcare
MSEDCL Power Utility,MAHARASHTRA ELECTRICITY UTILITY,Power & Electricity Monthly Charges,Utilities
Zerodha Investments,ZERODHA COIN INVESTMENTS,Monthly Mutual Fund SIP Investment,Investments
Student Corporate Payout,SALARY/PRIYAPATEL,Monthly Salary Credit - August 2025,Miscellaneous
Prime Video,PRIME VIDEO,Prime Monthly Video Plan,Entertainment
Wow! Momo Delivery,WOW MOMO FOODS DELIVERY,Momo Burger Combo,Food & Dining
JioFiber Bill,JIO BROADBAND BILL,JioFiber Unlimited Internet Monthly Plan,Utilities
Nature's Basket Store,SPENCERS NATURES BASKET STORE,Imported Gourmet Sauces,Groceries
Scaler Academy Learning,INTERVIEWBIT LEARNING,Scaler Academy Learning - Recurring Subscription,Education
Unacademy,SORTING HAT TECHNOLOGIES,Unacademy - Recurring Subscription,Education
WorkingProfessional Corporate Payout,SALARY/PRIYACHOWDHURY,Monthly Salary Credit - September 2025,Miscellaneous
SoftwareEngineer Corporate Payout,SALARY/ANANYASINGHANIA,Monthly Salary Credit - October 2025,Miscellaneous
SonyLIV Media,SONYLIV MEDIA,Sports & Live Match Pass,Entertainment
Coursera Edu,COURSERA EDU,Coursera Edu - Recurring Subscription,Education
Urban Company Care,URBANIC TECH CARE,Deep Tissue Full Body Massage,Grooming
Indane LPG Gas,INDANE GAS,Indane LPG Gas - Recurring Subscription,Utilities
Family Corporate Payout,SALARY/KAVYAIYER,Monthly Salary Credit - June 2025,Miscellaneous
Jawed Habib Salon Care,JAWED HABIB CARE,"Haircut, Wash & Styling",Grooming
Air India Service,TATA AIR INDIA SERVICE,Economy Class Domestic Flight,Transportation
Namma Metro Pay,BMRCL PAY,Metro QR Ticket,Transportation
Shell Petrol Pump Pay,SHELL PAY,Shell Lubricant & Fuel,Transportation
Flipkart,FLIPKART,Kitchen Mixer Grinder,Shopping
Third Wave Coffee,CUSTOMIZED COFFEE PVT,Avocado Toast & Latte,Food & Dining
Baskin Robbins Delivery,GRAVISS FOODS DELIVERY,Ice Cream Cake Slice,Food & Dining
Nykaa Retail,NYKAA BEAUTY RETAIL,Makeup Products & Foundation,Shopping
H&M India Retail,H&M RETAIL,Oversized Hoodie,Shopping
Paradise Biryani,PARADISE BIRYANI,Chicken Dum Biryani Pack,Food & Dining
PVR Cinemas Digital,PVR INOX DIGITAL,PVR Recliner Movie Tickets & Popcorn Combo,Entertainment
Oyo Rooms Stays,ORAVEL STAYS STAYS,Budget Hotel Stay for 2 Nights,Vacation
Crossword Bookstore,CROSSWORD BOOKSTORES,Notebooks & Premium Stationery,Education
PhysicsWallah Edu,PW LIVE EDU,NEET Prep Study Material,Education
Blinkit Direct,BLINKIT DIRECT,Fresh Vegetables & Fruits,Groceries
Third Wave Coffee Express,CUSTOMIZED COFFEE PVT EXPRESS,Avocado Toast & Latte,Food & Dining
Student Corporate Payout,SALARY/TANVISINGHANIA,Monthly Salary Credit - October 2025,Miscellaneous
JioFiber Bill,RELIANCE JIO INFOCOMM BILL,JioFiber Bill - Recurring Subscription,Utilities
Urban Company Salon,URBAN COMPANY SALON,Salon at Home - Haircut & Facial,Grooming
Empire Restaurant Express,HOTEL EMPIRE EXPRESS,Ghee Rice & Kebab,Food & Dining
Naturals Ice Cream Outlet,KAMAT HOTELS NATURALS OUTLET,Sitaphal & Mango Scoops,Food & Dining
JioFiber Utility,JIO BROADBAND UTILITY,JioFiber Utility - Recurring Subscription,Utilities
BigBasket Direct,BB DAILY DIRECT,"Atta, Dal & Sugar Basket",Groceries
NoBroker Rent Pay,NOBROKER RENT,Monthly Flat Rent Payment,Rent & Housing
Vi Postpaid,VI POSTPAID,Vi Postpaid - Recurring Subscription,Utilities
Pet Care Clinic Services,VET HOSPITALS SERVICES,Dog Food & Toys,Miscellaneous
ICICI Direct,ICICI DIRECT,Equity Portfolio Investment,Investments
Shell Petrol Pump Service,SHELL PETROL SERVICE,Shell Lubricant & Fuel,Transportation
Third Wave Coffee,CUSTOMIZED COFFEE PVT,Vietnamese Iced Coffee,Food & Dining
BusinessOwner Corporate Payout,SALARY/ISHANPATEL,Monthly Salary Credit - December 2025,Miscellaneous
Croma,CROMA,Air Conditioner 1.5 Ton,Shopping
Zepto Store,ZEPTO DAILY STORE,Instant Grocery Delivery,Groceries
Ola Cabs Fuel,OLA CABS FUEL,Ola Mini Ride to Mall,Transportation
Jawed Habib Salon Spa,JAWED HABIB SPA,Beard Trim & Hair Spa,Grooming
SpiceJet,SPICEJET,Excess Baggage Fee,Transportation
Westside Retail,WESTSIDE RETAIL,Western Dresses,Shopping
Cult.fit Gym,CULT FIT,Cultpass Elite 12 Months Gym Membership,Healthcare
IndiGo Service,INTERGLOBE AVIATION SERVICE,Return Flight Booking,Transportation
HP Gas,HINDUSTAN PETROLEUM LPG,HP Gas - Recurring Subscription,Utilities
Swiggy Instamart,INSTAMART,Daily Milk & Curd,Groceries
Naturals Ice Cream Express,KAMAT HOTELS NATURALS EXPRESS,Family Pack Tub,Food & Dining
Myntra Retail,MYNTRA FASHION RETAIL,Denim Jeans & T-shirts,Shopping
Society Maintenance,APARTMENT ASSN MAINTENANCE,Society Maintenance - Recurring Subscription,Rent & Housing
General Miscellaneous UPI,MISC MERCHANT,Small Local Merchant Payment,Miscellaneous
BigBasket Store,BIGBASKET STORE,"Atta, Dal & Sugar Basket",Groceries
Society Maintenance Online,MYGATE MAINTENANCE ONLINE,Society Maintenance Online - Recurring Subscription,Rent & Housing
Naturals Ice Cream,NATURALS ICE CREAM,Sitaphal & Mango Scoops,Food & Dining
IRCTC Pay,IRCTC PAY,3AC Train Ticket Booking,Transportation
BESCOM Electricity,BANGALORE ELECTRICITY,Monthly Electricity Consumption Bill,Utilities
Housing.com Rent Pay,HOUSING.COM RENT PAY,Housing.com Rent Pay - Recurring Subscription,Rent & Housing
FASTag Recharge Service,NHAI FASTAG RECHARGE SERVICE,National Highway Toll FASTag Topup,Transportation
Amazon India Fashion,AMAZON PAY INDIA FASHION,Kindle Paperwhite,Shopping
Paradise Biryani Outlet,PARADISE BIRYANI OUTLET,Mirchi Ka Salan Combo,Food & Dining
Zudio Digital,ZUDIO DIGITAL,Casual T-shirts & Shorts,Shopping
Zomato Outlet,Zomato Ltd OUTLET,North Indian Combo,Food & Dining
Netflix Media,NETFLIX MEDIA,Netflix Standard Monthly Plan,Entertainment
Udemy Academy,UDEMY ACADEMY,Python Data Science Masterclass Course,Education
Country Delight Store,COUNTRY DELIGHT STORE,Fresh Paneer & Taaza Dahi,Groceries
